Cidade;Escola;SegmentoRespondente;AnoDaAvaliacao;Questao;Resposta;QuantidadeDeRespostas
CAMPO GRANDE;EE CORAÇÃO DE MARIA;Professores;2018;Licenciatura;História;1
VICENTINA;EE PADRE JOSÉ DANIEL;Pais ou Responsáveis;2018;Formação;Mestrado;1
CAMPO GRANDE;EE PROFª. ÉLIA FRANÇA CARDOSO;Funcionários Administrativos;2018;Idade;Mais de 50 anos;6
PONTA PORÃ;EE DR MIGUEL MARCONDES ARMANDO;Avaliadores externos;2018;Licenciatura;Letras;1
CAMPO GRANDE;EE NICOLAU FRAGELLI;Professores;2018;Você leciona em;Duas escolas;12
GLÓRIA DE DOURADOS;EE HILDA BERGO DUARTE;Professores;2018;Trabalha nesta escola;Há mais de 6 anos;17
CAMPO GRANDE;EE JOÃO CARLOS FLORES;Professores;2018;Exerce esta função;De 1 a 3 anos;17
CHAPADÃO DO SUL;EE JORGE AMADO;Pais ou Responsáveis;2018;Formação;Mestrado (Incompleto);1
NOVA ANDRADINA;EE AUSTRILIO CAPILÉ CASTRO;Pais ou Responsáveis;2018;Tempo que disponibiliza por dia para estudar com o estudante pelo qual você é responsável;De 1 a 2 horas;24
BRASILÂNDIA;EE ADILSON ALVES DA SILVA;Estudantes;2018;Sexo;Feminino;131
CORUMBÁ;EE INDÍGENA JOÃO QUIRINO DE CARVALHO - TOGHOPANÃA;Pais ou Responsáveis;2018;Você se considera;Pardo;2
NIOAQUE;EE INDÍGENA DE ENSINO MÉDIO ANGELINA VICENTE;Estudantes;2018;Possui computador em casa;Não;21
DOURADOS;EE PASTOR DANIEL BERG;Estudantes;2018;Possui livros para pesquisa e leitura na sua casa;Não;10
NAVIRAÍ;EE VINÍCIUS DE MORAES;Professores;2018;Você é professor;Efetivo;13
DOURADOS;EE MARIA DA GLÓRIA MUZZI FERREIRA;Funcionários Administrativos;2018;Idade;41 a 45 anos;2
NOVA ANDRADINA;EE PROFESSORA FÁTIMA GAIOTTO SAMPAIO;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Agente de merenda;4
CAMPO GRANDE;EE LINO VILLACHA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Aposentada;1
DOURADOS;EE CASTRO ALVES;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Cabeleireira;1
CORUMBÁ;EE ROTARY CLUB;Coordenadores Pedagógicos;2018;Trabalha nesta escola;Há mais de 6 anos;1
CAMPO GRANDE;EE PROF. OTAVIANO GONÇALVES DA SILVEIRA JUNIOR;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;fisioterapeuta;1
CAMPO GRANDE;EE PADRE FRANCO DELPIANO;Professores;2018;Licenciatura;Ciências Biológicas;5
PONTA PORÃ;EE MENDES GONÇALVES;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Bancário;2
CAMPO GRANDE;EE JOSÉ ANTONIO PEREIRA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Cozinheira;1
CAMPO GRANDE;EE ANTÔNIO DELFINO PEREIRA;Diretores;2018;Idade;Mais de 50 anos;1
CAMPO GRANDE;EE JOSÉ ANTONIO PEREIRA;Funcionários Administrativos;2018;Idade;41 a 45 anos;1
PONTA PORÃ;EE MENDES GONÇALVES;Pais ou Responsáveis;2018;Grau de parentesco com o estudante pelo qual você é responsável;Afilhado(a);1
NIOAQUE;EE UIRAPURU;Coordenadores Pedagógicos;2018;Você se considera;Pardo;1
ANGÉLICA;EE SENADOR FILINTO MULLER;Pais ou Responsáveis;2018;Idade;36 a 40 anos;14
RIO BRILHANTE;EE FERNANDO CORRÊA DA COSTA;Funcionários Administrativos;2018;Você se considera;Pardo;6
ITAPORÃ;EE RODRIGUES ALVES;Pais ou Responsáveis;2018;Tempo que o estudante pelo qual você é responsável  estuda nesta escola;Há mais de 8 anos;1
CAMPO GRANDE;EE PROFª. FLAVINA MARIA DA SILVA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;defensora publica;1
DOURADOS;EE RAMONA DA SILVA PEDROSO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Torneiro Mecânico;1
ANGÉLICA;EE SENADOR FILINTO MULLER;Professores;2018;Trabalha nesta escola;Há menos de um ano;1
MUNDO NOVO;EE PROFESSORA IOLANDA ALLY;Coordenadores Pedagógicos;2018;Pós-Graduação;Especialização;2
CAMPO GRANDE;EE PROF. OTAVIANO GONÇALVES DA SILVEIRA JUNIOR;Pais ou Responsáveis;2018;Idade;36 a 40 anos;34
CORUMBÁ;EE ROTARY CLUB;Professores;2018;Sexo;Masculino;10
TRÊS LAGOAS;EE JOÃO DANTAS FILGUEIRAS;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;transportador;1
TRÊS LAGOAS;EE PROF. LUIZ LOPES DE CARVALHO;Pais ou Responsáveis;2018;Idade;Menos de 25 anos;9
BONITO;EE BONIFÁCIO CAMARGO GOMES;Estudantes;2018;Estuda nesta escola;De 2 a 4 anos;72
IGUATEMI;EE 8 DE MAIO;Estudantes;2018;Você se considera;Indígena;8
PARANAÍBA;EE DR. ERMÍRIO LEAL GARCIA;Professores;2018;Exerce esta função;Há mais de 6 anos;33
MARACAJU;EE CORONEL LIMA DE FIGUEIREDO;Funcionários Administrativos;2018;Idade;36 a 40 anos;5
NAVIRAÍ;EE EURICO GASPAR DUTRA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Gerente de montagem (móveis planejados);1
PARANAÍBA;EE MANOEL GARCIA LEAL;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;funcionaria publica;1
NOVA ALVORADA DO SUL;EE ANTONIO COELHO;Avaliadores externos;2018;Licenciatura;Pedagogia;1
CAMPO GRANDE;EE PROFª. CLARINDA MENDES DE AQUINO;Pais ou Responsáveis;2018;Formação;Ensino Médio;28
AQUIDAUANA;EE INDÍGENA DE EM PROF. DOMINGOS VERÍSSIMO MARCOS - MÍHIN;Professores;2018;Licenciatura;Outros;2
DOURADOS;EE PROFª FLORIANA LOPES;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;arquiuteta;1
BATAGUASSU;EE PROFESSOR BRAZ SINIGÁGLIA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Do lar ( Faxina);1
FÁTIMA DO SUL;EE SENADOR FILINTO MULLER;Estudantes;2018;Estuda nesta escola;De 2 a 4 anos;43
CAMPO GRANDE;EE VESPASIANO MARTINS;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;empresaria;1
CAMPO GRANDE;EE PROFª. CLARINDA MENDES DE AQUINO;Pais ou Responsáveis;2018;Formação;Doutorado;2
CAMPO GRANDE;EE JOÃO CARLOS FLORES;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Propagandista;1
TRÊS LAGOAS;EE PROFESSOR JOÃO MAGIANO PINTO;Diretores;2018;Pós-Graduação;Especialização;1
CAARAPÓ;EE PROF.ª CLEUZA APARECIDA VARGAS GALHARDO;Professores;2018;Sexo;Feminino;49
DOURADOS;EE MENODORA FIALHO DE FIGUEIREDO;Coordenadores Pedagógicos;2018;Trabalha nesta escola;De 1 a 3 anos;1
BRASILÂNDIA;EE ADILSON ALVES DA SILVA;Estudantes;2018;Estuda nesta escola;De 4 a 6 anos;32
PARANAÍBA;EE ARACILDA CÍCERO CORRÊA DA COSTA;Avaliadores externos;2018;Pós-Graduação;Especialização;1
APARECIDA DO TABOADO;EE ERNESTO RODRIGUES;Funcionários Administrativos;2018;Idade;25 a 30 anos;2
CAARAPÓ;EE PROF. JOAQUIM ALFREDO SOARES VIANNA;Pais ou Responsáveis;2018;Idade;31 a 35 anos;20
TRÊS LAGOAS;EE JOSÉ FERREIRA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;agente;1
TRÊS LAGOAS;EE PROFESSOR JOÃO MAGIANO PINTO;Pais ou Responsáveis;2018;Idade;41 a 45 anos;57
MARACAJU;EE CORONEL LIMA DE FIGUEIREDO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Servente de pedreiro;2
CAMPO GRANDE;EE PADRE FRANCO DELPIANO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Domestica;1
SELVÍRIA;EE ANA MARIA DE SOUZA;Coordenadores Pedagógicos;2018;Sexo;Masculino;1
PONTA PORÃ;EE MENDES GONÇALVES;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Trabalhador Assalariado;2
TRÊS LAGOAS;EE JOSÉ FERREIRA;Secretários Escolares;2018;Idade;41 a 45 anos;1
CORUMBÁ;EE ROTARY CLUB;Professores;2018;Trabalha nesta escola;Há mais de 6 anos;10
APARECIDA DO TABOADO;EE ERNESTO RODRIGUES;Funcionários Administrativos;2018;Formação;Especialização;1
TRÊS LAGOAS;EE JOÃO PONCE DE ARRUDA;Estudantes;2018;Idade;16 a 20 anos;86
CAMPO GRANDE;EE CORAÇÃO DE MARIA;Avaliadores externos;2018;Sexo;Masculino;1
SÃO GABRIEL DO OESTE;EE SÃO GABRIEL;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Do Lar;1
RIO BRILHANTE;EE FERNANDO CORRÊA DA COSTA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;estudante;2
CORUMBÁ;EE INDÍGENA JOÃO QUIRINO DE CARVALHO - TOGHOPANÃA;Professores;2018;Graduação;Licenciatura;5
MIRANDA;EE CAETANO PINTO;Diretores;2018;Trabalha nesta escola;Há mais de 6 anos;1
NOVA ANDRADINA;EE AUSTRILIO CAPILÉ CASTRO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Atendente;1
TRÊS LAGOAS;EE PROFESSOR JOÃO MAGIANO PINTO;Coordenadores Técnicos;2018;Exerce esta função;Há menos de um ano;3
APARECIDA DO TABOADO;EE GEORGINA DE OLIVEIRA ROCHA;Estudantes;2018;Idade;21 a 25 anos;5
NAVIRAÍ;EE JURACY ALVES CARDOSO;Pais ou Responsáveis;2018;Você se considera;Preto;22
MARACAJU;EE CORONEL LIMA DE FIGUEIREDO;Professores;2018;Pós-Graduação;Não possui;10
TRÊS LAGOAS;EE PADRE JOÃO TOMES;Funcionários Administrativos;2018;Trabalha nesta escola;De 1 a 3 anos;2
TRÊS LAGOAS;EE PROFESSOR JOÃO MAGIANO PINTO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;segurança;1
CAMPO GRANDE;EE PROFª BRASILINA FERRAZ MANTERO;Funcionários Administrativos;2018;Formação;Ensino Superior;1
CAARAPÓ;EE TENENTE AVIADOR ANTÔNIO JOÃO;Funcionários Administrativos;2018;Você se considera;Pardo;5
DOURADOS;EE PROF. CELSO MULLER DO AMARAL;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Diarista;3
CAMPO GRANDE;EE MANOEL BONIFÁCIO NUNES DA CUNHA;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Agentes de atividades educacionais;5
ANASTÁCIO;EE INDÍGENA GUILHERMINA DA SILVA;Pais ou Responsáveis;2018;Formação;Ensino Fundamental (Incompleto);38
MUNDO NOVO;EE PROFESSORA IOLANDA ALLY;Funcionários Administrativos;2018;Formação;Ensino Médio (Incompleto);1
DOURADOS;EE PRES. TANCREDO NEVES;Diretores Adjuntos;2018;Licenciatura;Ciências Biológicas;1
DOURADOS;EE ANTÔNIA DA SILVEIRA CAPILÉ;Professores;2018;Você se considera;Branco;16
CAARAPÓ;EE TENENTE AVIADOR ANTÔNIO JOÃO;Estudantes;2018;Possui computador em casa;Sim;40
ITAQUIRAÍ;EE LEOPOLDO DALMOLIN;Funcionários Administrativos;2018;Sexo;Feminino;9
DOURADOS;EE PASTOR DANIEL BERG;Funcionários Administrativos;2018;Formação;Ensino Médio;1
CAMPO GRANDE;EE PADRE FRANCO DELPIANO;Professores;2018;Graduação;Licenciatura;35
ANAURILÂNDIA;EE MARIA JOSÉ;Professores;2018;Idade;31 a 35 anos;2
LADÁRIO;EE 2 DE SETEMBRO;Secretários Escolares;2018;Você se considera;Pardo;1
CAMPO GRANDE;EE JOSÉ ANTONIO PEREIRA;Professores;2018;Exerce esta função;Há menos de um ano;5
ITAQUIRAÍ;EE LEOPOLDO DALMOLIN;Funcionários Administrativos;2018;Você se considera;Pardo;5
BRASILÂNDIA;EE ADILSON ALVES DA SILVA;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Agente de inspeção de estudantes;1
CAMPO GRANDE;EE PROF. OTAVIANO GONÇALVES DA SILVEIRA JUNIOR;Funcionários Administrativos;2018;Sexo;Masculino;1
CAMPO GRANDE;EE ZAMENHOF;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Atesã;1
DOURADOS;EE CASTRO ALVES;Coordenadores Pedagógicos;2018;Idade;31 a 35 anos;1
AQUIDAUANA;EE CEL. JOSÉ ALVES RIBEIRO;Coordenadores Técnicos;2018;Trabalha nesta escola;De 1 a 3 anos;2
MARACAJU;EE PADRE CONSTANTINO DE MONTE;Pais ou Responsáveis;2018;Exerce alguma atividade remunerada;Não;3
CAMPO GRANDE;EE RUI BARBOSA;Estudantes;2018;Sexo;Masculino;135
TRÊS LAGOAS;EE EDWARDS CORRÊA E SOUZA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;tecnico em informática;1
DOURADOS;EE MIN. JOÃO PAULO DOS REIS VELOSO;Estudantes;2018;Ano escolar;1º ano do Ensino Médio;82
ITAPORÃ;EE RODRIGUES ALVES;Coordenadores Técnicos;2018;Você se considera;Branco;1
DOURADOS;EE ROTARY DR. NELSON DE ARAÚJO;Pais ou Responsáveis;2018;Tempo que o estudante pelo qual você é responsável  estuda nesta escola;De 2 a 4 anos;18
PARANAÍBA;EE JOSÉ GARCIA LEAL;Secretários Escolares;2018;Idade;41 a 45 anos;1
DOURADOS;EE CASTRO ALVES;Pais ou Responsáveis;2018;Você se considera;Branco;148
DOURADOS;EE PROFª FLORIANA LOPES;Estudantes;2018;Sexo;Masculino;108
CORUMBÁ;EE ROTARY CLUB;Coordenadores Pedagógicos;2018;Graduação;Licenciatura;2
TRÊS LAGOAS;EE PADRE JOÃO TOMES;Diretores Adjuntos;2018;Graduação;Licenciatura;1
DOURADOS;EE PRES. TANCREDO NEVES;Funcionários Administrativos;2018;Idade;46 a 50 anos;5
CAMPO GRANDE;EE ELVIRA MATHIAS DE OLIVEIRA;Avaliadores externos;2018;Pós-Graduação;Especialização;1
CAMPO GRANDE;EE JOÃO CARLOS FLORES;Secretários Escolares;2018;Graduação;Licenciatura;1
CAMPO GRANDE;EE 26 DE AGOSTO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Enfermeira;1
ÁGUA CLARA;EE CHICO MENDES;Pais ou Responsáveis;2018;Tempo que o estudante pelo qual você é responsável  estuda nesta escola;Há menos de um ano;58
SELVÍRIA;EE ANA MARIA DE SOUZA;Professores;2018;Você leciona em;Uma escola;18
DOURADOS;EE JOAQUIM VAZ DE OLIVEIRA;Professores;2018;Pós-Graduação;Especialização (Incompleto);4
SIDROLÂNDIA;EE KOPENOTI DE EM PROF. LÚCIO DIAS;Pais ou Responsáveis;2018;Você se considera;Pardo;4
CAMPO GRANDE;EE ELVIRA MATHIAS DE OLIVEIRA;Pais ou Responsáveis;2018;Exerce alguma atividade remunerada;Não;27
CAARAPÓ;EE PROF. JOAQUIM ALFREDO SOARES VIANNA;Pais ou Responsáveis;2018;Você se considera;Indígena;3
RIO BRILHANTE;EE PROFESSORA LIGIA TEREZINHA MARTINS;Pais ou Responsáveis;2018;Formação;Ensino Superior (Incompleto);7
MIRANDA;EE CAETANO PINTO;Secretários Escolares;2018;Formação;Ensino Médio;1
SIDROLÂNDIA;EE PROFESSORA CATARINA DE ABREU;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Vendedor;2
CAMPO GRANDE;EE MAESTRO FREDERICO LIEBERMANN;Estudantes;2018;Possui livros para pesquisa e leitura na sua casa;Sim;155
AQUIDAUANA;EE INDÍGENA DE EM PASCOAL LEITE DIAS;Pais ou Responsáveis;2018;Idade;46 a 50 anos;5
RIO VERDE DE MATO GROSSO;EE THOMAZ BARBOSA RANGEL;Pais ou Responsáveis;2018;Formação;Especialização (Incompleto);3
RIO VERDE DE MATO GROSSO;EE THOMAZ BARBOSA RANGEL;Estudantes;2018;Ano escolar;3º ano do Ensino Médio;11
PEDRO GOMES;EE FRANCISCO RIBEIRO SOARES;Avaliadores externos;2018;Graduação;Licenciatura;1
VICENTINA;EE PADRE JOSÉ DANIEL;Estudantes;2018;Ano escolar;EJA - Ensino Médio;6
DOURADOS;EE MIN. JOÃO PAULO DOS REIS VELOSO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;auxiliar de serviço diversos;1
IGUATEMI;EE 8 DE MAIO;Estudantes;2018;Sexo;Masculino;141
DOURADOS;EE PASTOR DANIEL BERG;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;domestica;1
CAMPO GRANDE;EE PADRE JOÃO GREINER;Estudantes;2018;Ano escolar;3º ano do Ensino Médio;45
CAMPO GRANDE;EE PROFª HILDA DE SOUZA FERREIRA;Professores;2018;Você se considera;Branco;32
CAMPO GRANDE;EE GENERAL MALAN;Estudantes;2018;Estuda nesta escola;De 2 a 4 anos;50
AQUIDAUANA;EE CEL. JOSÉ ALVES RIBEIRO;Pais ou Responsáveis;2018;Formação;Mestrado;1
DOURADOS;CEEJA DE DOURADOS/ MS;Coordenadores Pedagógicos;2018;Trabalha nesta escola;Há mais de 6 anos;2
DOURADOS;EE PROF. ALICIO ARAUJO;Professores;2018;Pós-Graduação;Mestrado;2
MARACAJU;EE PADRE CONSTANTINO DE MONTE;Professores;2018;Graduação;Bacharelado;2
ANASTÁCIO;EE MARIA CORRÊA DIAS;Pais ou Responsáveis;2018;Tempo que o estudante pelo qual você é responsável  estuda nesta escola;Há mais de 8 anos;4
DOURADOS;EE RAMONA DA SILVA PEDROSO;Coordenadores Pedagógicos;2018;Você se considera;Pardo;1
CAMPO GRANDE;EE VESPASIANO MARTINS;Professores;2018;Licenciatura;História;3
CAMPO GRANDE;EE LINO VILLACHA;Pais ou Responsáveis;2018;Tempo que o estudante pelo qual você é responsável  estuda nesta escola;Há menos de um ano;16
CAMPO GRANDE;EE ARLINDO DE ANDRADE GOMES;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Agente de inspeção de estudantes;2
DOURADOS;EE VILMAR VIEIRA MATOS;Estudantes;2018;Você se considera;Preto;33
CAMPO GRANDE;EE GENERAL MALAN;Estudantes;2018;Possui computador em casa;Não;28
DOURADOS;EE PROFª FLORIANA LOPES;Coordenadores Pedagógicos;2018;Licenciatura;Letras;1
TRÊS LAGOAS;EE PROF. LUIZ LOPES DE CARVALHO;Coordenadores Pedagógicos;2018;Idade;31 a 35 anos;1
ITAPORÃ;EE RODRIGUES ALVES;Professores;2018;Exerce esta função;De 4 a 6 anos;8
AQUIDAUANA;EE INDÍGENA DE EM PASTOR REGINALDO MIGUEL - HOYENÓ O;Professores;2018;Licenciatura;História;2
NIOAQUE;EE INDÍGENA DE ENSINO MÉDIO ANGELINA VICENTE;Secretários Escolares;2018;Trabalha nesta escola;De 4 a 6 anos;1
CAMPO GRANDE;EE JOSÉ MARIA HUGO RODRIGUES;Professores;2018;Idade;Mais de 50 anos;13
PONTA PORÃ;EE DR MIGUEL MARCONDES ARMANDO;Funcionários Administrativos;2018;Exerce esta função;De 4 a 6 anos;3
CAMPO GRANDE;EE RUI BARBOSA;Estudantes;2018;Você se considera;Indígena;5
ANAURILÂNDIA;EE MARIA JOSÉ;Secretários Escolares;2018;Sexo;Masculino;1
ITAQUIRAÍ;EE LEOPOLDO DALMOLIN;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;gerente de vendas;1
PONTA PORÃ;EE DR MIGUEL MARCONDES ARMANDO;Diretores;2018;Pós-Graduação;Especialização;1
CAMPO GRANDE;EE RUI BARBOSA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;mecanico de automoveis;1
DOURADOS;CEEJA DE DOURADOS/ MS;Estudantes;2018;Idade;Mais de 30 anos;114
ITAQUIRAÍ;EE LEOPOLDO DALMOLIN;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;prediro;1
AQUIDAUANA;EE CÂNDIDO MARIANO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;serviços gerais;1
CAMPO GRANDE;EE ZAMENHOF;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;comerciária;1
CAMPO GRANDE;EE PROFª JOELINA DE ALMEIDA XAVIER;Estudantes;2018;Sexo;Feminino;44
APARECIDA DO TABOADO;EE ERNESTO RODRIGUES;Funcionários Administrativos;2018;Você se considera;Preto;2
NIOAQUE;EE UIRAPURU;Professores;2018;Formação;Magistério;1
BATAGUASSU;EE PROFESSOR BRAZ SINIGÁGLIA;Professores;2018;Licenciatura;Pedagogia;3
NAVIRAÍ;EE VINÍCIUS DE MORAES;Professores;2018;Você é professor;Convocado;42
CORUMBÁ;EE DR. JOÃO LEITE DE BARROS;Professores;2018;Você leciona em;Duas escolas;18
SÃO GABRIEL DO OESTE;EE SÃO GABRIEL;Coordenadores Técnicos;2018;Trabalha nesta escola;De 1 a 3 anos;1
CAMPO GRANDE;EE PROF. SEVERINO DE QUEIROZ;Coordenadores Pedagógicos;2018;Idade;36 a 40 anos;1
NAVIRAÍ;EE JURACY ALVES CARDOSO;Professores;2018;Licenciatura;Artes;3
CAMPO GRANDE;EE PROFª HILDA DE SOUZA FERREIRA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Inspetora;1
CAMPO GRANDE;EE PROF. HENRIQUE CIRYLLO CORREA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;sub gerente;1
MIRANDA;EE CAETANO PINTO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;funcionario da prefeitura;1
AQUIDAUANA;EE CEL. JOSÉ ALVES RIBEIRO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;atendente;6
AQUIDAUANA;EE INDÍGENA DE EM PASTOR REGINALDO MIGUEL - HOYENÓ O;Professores;2018;Sexo;Feminino;10
INOCÊNCIA;EE  PROF. JOÃO PEREIRA VALIM;Estudantes;2018;Você se considera;Amarelo;1
CAARAPÓ;EE TENENTE AVIADOR ANTÔNIO JOÃO;Estudantes;2018;Ano escolar;8º ano do Ensino Fundamental;3
RIO BRILHANTE;EE FERNANDO CORRÊA DA COSTA;Pais ou Responsáveis;2018;Formação;Ensino Médio (Incompleto);21
AQUIDAUANA;EE GERALDO AFONSO GARCIA FERREIRA;Avaliadores externos;2018;Formação;Ensino Superior;1
ITAPORÃ;EE RODRIGUES ALVES;Professores;2018;Sexo;Masculino;8
CAMPO GRANDE;EE JOSÉ MARIA HUGO RODRIGUES;Professores;2018;Exerce esta função;De 4 a 6 anos;17
NAVIRAÍ;EE VINÍCIUS DE MORAES;Diretores;2018;Você se considera;Branco;1
CAMPO GRANDE;EE ELVIRA MATHIAS DE OLIVEIRA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;diarista;6
CAMPO GRANDE;EE PROF. OTAVIANO GONÇALVES DA SILVEIRA JUNIOR;Estudantes;2018;Estuda nesta escola;De 4 a 6 anos;6
TRÊS LAGOAS;EE JOÃO PONCE DE ARRUDA;Funcionários Administrativos;2018;Formação;Ensino Médio;11
SIDROLÂNDIA;EE KOPENOTI DE EM PROF. LÚCIO DIAS;Pais ou Responsáveis;2018;Sexo;Masculino;5
TRÊS LAGOAS;EE AFONSO PENA;Coordenadores Técnicos;2018;Você se considera;Pardo;1
DOURADOS;EE VILMAR VIEIRA MATOS;Coordenadores Pedagógicos;2018;Exerce esta função;Há mais de 6 anos;4
CAMPO GRANDE;EE GENERAL MALAN;Funcionários Administrativos;2018;Sexo;Feminino;10
CAMPO GRANDE;EE PADRE FRANCO DELPIANO;Funcionários Administrativos;2018;Informe qual função exerce nessa unidade escolar;Agentes de atividades educacionais;1
MIRANDA;EE INDÍGENA CACIQUE TIMÓTEO;Diretores;2018;Trabalha nesta escola;De 1 a 3 anos;1
AQUIDAUANA;EE CÂNDIDO MARIANO;Funcionários Administrativos;2018;Trabalha nesta escola;De 4 a 6 anos;1
COSTA RICA;EE JOSÉ FERREIRA DA COSTA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Professora;19
DOURADOS;EE PRES. TANCREDO NEVES;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;bicicletaria;1
CAMPO GRANDE;EE 26 DE AGOSTO;Diretores;2018;Licenciatura;Filosofia;1
PEDRO GOMES;EE FRANCISCO RIBEIRO SOARES;Secretários Escolares;2018;Idade;46 a 50 anos;1
CAMPO GRANDE;EE OLINDA CONCEIÇÃO TEIXEIRA BACHA;Pais ou Responsáveis;2018;Grau de parentesco com o estudante pelo qual você é responsável;Enteado(a);3
CAMPO GRANDE;EE ELVIRA MATHIAS DE OLIVEIRA;Pais ou Responsáveis;2018;Idade;Mais de 50 anos;15
SÃO GABRIEL DO OESTE;EE SÃO GABRIEL;Professores;2018;Você é professor;Convocado;31
GLÓRIA DE DOURADOS;EE HILDA BERGO DUARTE;Professores;2018;Trabalha nesta escola;Há menos de um ano;4
DOURADOS;EE PROF. ALICIO ARAUJO;Estudantes;2018;Ano escolar;8º ano do Ensino Fundamental;4
RIO BRILHANTE;EE PROFESSORA LIGIA TEREZINHA MARTINS;Secretários Escolares;2018;Formação;Ensino Médio;1
NOVA ANDRADINA;EEPROFª NAIR PALÁCIO DE SOUZA;Pais ou Responsáveis;2018;Idade;31 a 35 anos;16
IGUATEMI;EE 8 DE MAIO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Motorista;2
IVINHEMA;EE SENADOR FILINTO MULLER;Diretores Adjuntos;2018;Licenciatura;Educação Física;1
CAMPO GRANDE;EE 26 DE AGOSTO;Estudantes;2018;Possui computador em casa;Sim;145
DOURADOS;EE JOAQUIM VAZ DE OLIVEIRA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Técnico em agropecuária;2
DOURADOS;EE RITA ANGELINA BARBOSA SILVEIRA;Avaliadores externos;2018;Exerce esta função;De 1 a 3 anos;1
MIRANDA;EE CAETANO PINTO;Diretores Adjuntos;2018;Idade;41 a 45 anos;1
CAMPO GRANDE;EE CORAÇÃO DE MARIA;Professores;2018;Você leciona em;Três escolas;4
CAMPO GRANDE;EE JOSÉ ANTONIO PEREIRA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;auxiliar de cozinha;1
CAMPO GRANDE;EE JOSÉ ANTONIO PEREIRA;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;comerciária;2
DOURADOS;EE MENODORA FIALHO DE FIGUEIREDO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;Médico;1
NOVA ANDRADINA;EE PROFESSORA FÁTIMA GAIOTTO SAMPAIO;Professores;2018;Idade;36 a 40 anos;15
DOURADOS;EE PRES. TANCREDO NEVES;Professores;2018;Idade;41 a 45 anos;18
CORUMBÁ;EE INDÍGENA JOÃO QUIRINO DE CARVALHO - TOGHOPANÃA;Pais ou Responsáveis;2018;Sexo;Feminino;4
TRÊS LAGOAS;EE AFONSO FRANCISCO XAVIER TRANNIN;Professores;2018;Exerce esta função;De 4 a 6 anos;3
ANASTÁCIO;EE DEP. CARLOS SOUZA MEDEIROS;Estudantes;2018;Ano escolar;7º ano do Ensino Fundamental;4
TRÊS LAGOAS;EE PROF. LUIZ LOPES DE CARVALHO;Pais ou Responsáveis;2018;Especifique qual é a sua profissão;recepcionista;1
TRÊS LAGOAS;EE AFONSO FRANCISCO XAVIER TRANNIN;Funcionários Administrativos;2018;Idade;25 a 30 anos;1
MIRANDA;ESCOLA ESTADUAL INDIGENA CACIQUE VICENTE DE ALMEIDA;Professores;2018;Trabalha nesta escola;De 4 a 6 anos;1
